taxon_id,gbif_taxonID,scientific_name,common_name,blm_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
5331509,5331509,Mentzelia shultziorum,Shultz' stickleaf,S,Plantae,Tracheophyta,Magnoliopsida,Cornales,Loasaceae,Mentzelia,Mentzelia shultziorum,NA,NA
3188872,3188872,Oenothera acutissima,Large yellow evening primrose; Flaming Gorge evening primrose,S,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera acutissima,NA,NA
3188930,3667842,Oenothera murdockii,Murdock's evening primrose,S,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera flava,NA,NA
3034375,3034375,Oreoxis trotteri,Trotter's oreoxis,S,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Oreoxis,Oreoxis trotteri,NA,NA
3909953,3909953,Pediomelum aromaticum var barnebyi,Barneby's breadroot,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pediomelum,Pediomelum aromaticum,NA,Pediomelum aromaticum barnebyi
2959982,2959982,Pediomelum aromaticum var tuhyi,Tuhy's breadroot,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pediomelum,Pediomelum aromaticum,NA,Pediomelum aromaticum tuhyi
2959968,2959976,Pediomelum epipsilum,Kane breadroot,S,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pediomelum,Pediomelum megalanthum,NA,NA
3171457,3171457,Penstemon acaulis var acaulis,Stemless penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon acaulis,NA,NA
3737357,3737357,Penstemon angustifolius var dulcis,Neese narrowleaf penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon angustifolius,NA,Penstemon angustifolius dulcis
3171347,3171347,Penstemon franklinii,Franklin's penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon franklinii,NA,NA
3171597,3171597,Penstemon gibbensii,Gibben's penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon gibbensii,NA,NA
3171448,3171448,Penstemon goodrichii,Goodrich's penstemon,S,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon goodrichii,NA,NA
