common_name,scientific_name,mbta,federally_endangered,federally_threatened,bcc_rangewide_in_continental_us_and_or_pr_and_vi_or_hi_and_pacific_islands,bc_rs_for_bcc_listing_non_breeding,bc_rs_for_bcc_listing_breeding,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Ferruginous Pygmy‐Owl,Glaucidium brasilianum,Y,NA,Ssp. cactorum only ‐ wherever found,NA,NA,NA,5232118,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Glaucidium brasilianum,5232118
Field Sparrow,Spizella pusilla,Y,NA,NA,No,NA,"20,24",2492096,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,Spizella pusilla,2492096
Flammulated Owl,Psiloscops flammeolus,Y,NA,NA,Yes,NA,"5,9,10,15,16,32,34,35",7807178,Animalia,Chordata,Aves,Strigiformes,Strigidae,Psiloscops,Psiloscops flammeolus,7807178
Florida Scrub‐Jay,Aphelocoma coerulescens,Y,NA,Wherever found,NA,NA,NA,2482400,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens,2482400
Forster's Tern,Sterna forsteri,Y,NA,NA,No,NA,"9,37",5229247,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna forsteri,5229247
Franklin's Gull,Leucophaeus pipixcan,Y,NA,NA,Yes,NA,"9,10,11,17",5846430,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,Leucophaeus pipixcan,5846430
Gila Woodpecker,Melanerpes uropygialis,Y,NA,NA,No,NA,33,2478112,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes uropygialis,2478112
Gilded Flicker,Colaptes chrysoides,Y,NA,NA,Yes,NA,"33,34",2478248,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,2478248
Golden‐cheeked Warbler,Setophaga chrysoparia,Y,Wherever found,NA,NA,NA,NA,6092637,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga chrysoparia,6092637
Golden‐winged Warbler,Vermivora chrysoptera,Y,NA,NA,Yes,NA,"11,12,13,23,28",5230811,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,Vermivora chrysoptera,5230811
Grace's Warbler,Setophaga graciae,Y,NA,NA,Yes,NA,"11,17,18,20,22,23,24,27,29,30",7341776,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga graciae,7341776
