common_name,scientific_name,mbta,federally_endangered,federally_threatened,bcc_rangewide_in_continental_us_and_or_pr_and_vi_or_hi_and_pacific_islands,bc_rs_for_bcc_listing_non_breeding,bc_rs_for_bcc_listing_breeding,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Woodhouse's Scrub‐Jay,Aphelocoma woodhouseii,Y,NA,NA,No ‐ ssp. woodhouseii only,NA,35,5844900,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma woodhouseii,5844900
Wrentit,Chamaea fasciata,Y,NA,NA,Yes,NA,"5,15,32",2493558,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Chamaea,Chamaea fasciata,2493558
Yellow Rail,Coturnicops noveboracensis,Y,NA,NA,Yes,"25,26,27,31,32,37","9,10,11,12,23",5228183,Animalia,Chordata,Aves,Gruiformes,Rallidae,Coturnicops,Coturnicops noveboracensis,5228183
Yellow‐billed Cuckoo,Coccyzus americanus,Y,NA,Western DPS only,No,NA,28,2496287,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,2496287
Yellow‐billed Loon,Gavia adamsii,Y,NA,NA,Yes,"1,M15","2,3,32",2481957,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia adamsii,2481957
Yellow‐billed Magpie,Pica nuttalli,Y,NA,NA,Yes,NA,32,5229489,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,Pica nuttalli,5229489
Yellow‐breasted Chat,Icteria virens,Y,NA,NA,No ‐ ssp. virens only,NA,30,2489989,Animalia,Chordata,Aves,Passeriformes,Parulidae,Icteria,Icteria virens,2489989
Yellow‐breasted Crake,Hapalocrex flaviventer,Y,NA,NA,Yes ‐ ssp. hendersoni only,NA,101,9621766,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana flaviventer,2474640
Yellow‐footed Gull,Larus livens,Y,NA,NA,Yes,33,NA,2481154,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus livens,2481154
Yellow‐headed Blackbird,Xanthocephalus xanthocephalus,Y,NA,NA,No,NA,16,2484195,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthocephalus,Xanthocephalus xanthocephalus,2484195
Yellow‐shouldered Blackbird,Agelaius xanthomus,Y,Wherever found,NA,NA,NA,NA,2484449,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius xanthomus,2484449
