taxon_id,gbif_taxonID,scientific_name,common_name,s_rank_1,n_rank_2,federal_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
4286865,4286865,Chasmistes liorus,June Sucker,S2,N1,Threatened,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Chasmistes,Chasmistes liorus,NA,NA
2362727,2362727,Iotichthys phlegethontis,Least Chub,S2,N1,NA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Iotichthys,Iotichthys phlegethontis,NA,NA
2361899,2361899,Lepidomeda copei,Northern Leatherside Chub,S2,N3,NA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Lepidomeda,Lepidomeda copei,NA,NA
2359095,2359095,Xyrauchen texanus,Razorback Sucker,S2,N1,Endangered,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Xyrauchen,Xyrauchen texanus,NA,NA
2360128,2360128,Gila robusta,Roundtail Chub,S2,N3,NA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Gila,Gila robusta,NA,NA
2361903,2361903,Lepidomeda aliciae,Southern Leatherside Chub,S2,N2,NA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Lepidomeda,Lepidomeda aliciae,NA,NA
2360105,2360105,Gila seminuda,Virgin Chub,S1,N1,Endangered,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Gila,Gila seminuda,NA,NA
2361895,2361895,Lepidomeda mollispinis,Virgin Spinedace,S2,N2,NA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Lepidomeda,Lepidomeda mollispinis,NA,NA
2366711,2366711,Plagopterus argentissimus,Woundfin,S1,N1,Endangered,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Plagopterus,Plagopterus argentissimus,NA,NA
5722956,5722956,Oncorhynchus clarkii bouvieri,Yellowstone Cutthroat Trout,S3,N2,NA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarki bouvieri,NA
