taxon_id,gbif_taxonID,scientific_name,common_name,s_rank_1,n_rank_2,federal_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
3084063,3084078,Pediocactus despainii,Despain Pincushion Cactus,S2,N2,Endangered,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pediocactus,Pediocactus bradyi,NA,NA
2888377,2888377,Arctomecon humilis,Dwarf Bearclaw-poppy,S1,S1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Arctomecon,Arctomecon humilis,NA,NA
3938685,3938685,Sphaeralcea gierischii,Gierisch's Globemallow,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea,Sphaeralcea gierischii,NA,NA
5345744,5345744,Astragalus anserinus,Goose Creek Milkvetch,S2,N2,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus anserinus,NA,NA
3171394,3171394,Penstemon grahamii,Graham's Beardtongue,S2,N2,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon grahamii,NA,NA
5344556,5346980,Astragalus montii,Heliotrope Milkvetch,S3,N3,Endangered,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus limnocharis,NA,NA
5346510,5346510,Astragalus iselyi,Isley's Milkvetch,S1,N1,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus iselyi,NA,NA
3614610,3614610,Cycladenia humilis var. jonesii,Jones Cycladenia,S2,N3/N4,Threatened,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cycladenia,Cycladenia humilis,NA,Cycladenia humilis jonesii
3049179,3049179,Physaria tumulosa,Kodachrome Bladderpod,S3,N3,Endangered,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Physaria,Physaria tumulosa,NA,NA
5401965,5401965,Townsendia aprica,Last Chance Townsendia,S2,N2,Threatened,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia,Townsendia aprica,NA,NA
5414341,5414341,Primula maguirei,Maguire Primrose,S1,N1,Threatened,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,Primula maguirei,NA,NA
2723114,2723114,Carex specuicola,Navajo Sedge,S1,N2,Threatened,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex specuicola,NA,NA
5345822,5345822,Astragalus holmgreniorum,Paradox Milkvetch,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus holmgreniorum,NA,NA
3084579,3084579,Sclerocactus brevispinus,Pariette Cactus,S1,N1,Threatened,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Sclerocactus,Sclerocactus brevispinus,NA,NA
5613256,5613256,Astragalus ampullarioides,Shivwits Milkvetch,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus ampullarioides,NA,NA
3047780,3047780,Hesperidanthus suffretescens,Shrubby Reed-mustard,S1,N1,Endangered,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Hesperidanthus,Hesperidanthus suffrutescens,NA,NA
3084074,3084074,Pediocactus sileri,Siler Pincushion Cactus,S1,N2/N3,Threatened,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pediocactus,Pediocactus sileri,NA,NA
5613308,5613308,Astragalus sabulosus var. vehiculus,Stage Station Milkvetch,S1,N1,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,Astragalus sabulosus,NA,Astragalus sabulosus vehiculus
7280037,7280037,Sclerocactus wetlandicus,Uinta Basin Hookless Cactus,S3,N3,Threatened,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Sclerocactus,Sclerocactus wetlandicus,NA,NA
2805372,2805372,Spiranthes diluvialis,Ute Ladies' Tresses,S1,N2/N3,Endangered,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,Spiranthes diluvialis,NA,NA
3170262,3170262,Asclepias welshii,Welsh's Milkweed,S1,N1,Threatened,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias welshii,NA,NA
3171537,3737582,Penstemon albifluvis,White River Beardtongue,S2,N1,NA,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon scariosus,NA,NA
3084063,3084065,Pediocactus winkleri,Winkler's Pincushion Cactus,S2,N2,Threatened,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pediocactus,Pediocactus bradyi,NA,NA
3084580,3084580,Schlerocactus wrightiae,Wright Fishhook Cactus,S2,N2,Endangered,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Sclerocactus,Sclerocactus wrightiae,NA,NA
2460817,2460817,Heloderma suspetum,Gila Monster,S2,N4,NA,Animalia,Chordata,Squamata,NA,Helodermatidae,Heloderma,Heloderma suspectum,NA,NA
6157444,6157444,Crotalus oreganus concolor,Midget Faded Rattlesnake,SNR,N4,NA,Animalia,Chordata,Squamata,NA,Viperidae,Crotalus,Crotalus oreganus,Crotalus oreganus concolor,NA
2441814,2441814,Gopherus agassizii,Mojave Desert Tortoise,S2,NNR,Threatened,Animalia,Chordata,Testudines,NA,Testudinidae,Gopherus,Gopherus agassizii,NA,NA
NA,NA,Kampropeltis pyromelana,Pyro Mountain Kingsnake,S3,N4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
