taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
2438626,Microtus richardsoni,water vole,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2437233,Cynomys leucurus,white-tailed prairie dog,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2439387,Thomomys clusius,Wyoming pocket gopher,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2477774,Picoides arcticus,black-backed woodpecker,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2477282,Cypseloides niger,black swift,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2481119,Chlidonias niger,black tern,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
5739298,Aegolius funereus,boreal owl,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2492099,Spizella breweri,Brewer’s sparrow,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2497240,Athene cunicularia,burrowing owl,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
6091692,Peucaea cassinii,Cassin’s sparrow,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2491677,Calcarius ornatus,chestnut-collared longspur,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
6180028,Tympanuchus phasianellus columbianus,Columbian sharp-tailed grouse,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2480566,Buteo regalis,ferruginous hawk,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
7807178,Psiloscops flammeolus,flammulated owl,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
7341776,Setophaga graciae,Grace’s warbler,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2491123,Ammodramus savannarum,grasshopper sparrow,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
2473510,Tympanuchus cupido,greater prairie-chicken,USFS Region 2,US Forest Service,USFS R2 Sensitive Species,Sensitive Species,Sensitive Species
