ID_taxonID,scientificName,sPrimaryCommonName,synonymName,SWAP2015,SWAP2023,SWAP2023designation,lastUpdated,taxonomyNotes,comments,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id,subspecies,variety
17236,Chordeiles minor,Common Nighthawk,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2497035,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles minor,2497035,NA,NA
NA,Migratory Shorebird Assemblage,Migratory Shorebird Assemblage,NA,NA,TRUE,SGIN - E,2024-04-16T00:00:00Z,NA,"The SWAP 2023 migratory shorebird assemblage includes the following 16 species: American Golden-Plover, Semipalmated Plover, Marbled Godwit, Stilt Sandpiper, Sanderling, Dunlin, Baird's Sandpiper, Least Sandpiper, Pectoral Sandpiper, Semipalmated Sandpiper, Western Sandpiper, Long-billed Dowitcher, Solitary Sandpiper, Lesser Yellowlegs, Greater Yellowlegs, and Red-necked Phalarope.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19458,Chlidonias niger,Black Tern,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2481119,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,Chlidonias niger,2481119,NA,NA
18702,Hydroprogne caspia,Caspian Tern,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2481236,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia,2481236,NA,NA
15895,Larus californicus,California Gull,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2481146,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus californicus,2481146,NA,NA
15595,Larus delawarensis,Ring-billed Gull,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2481134,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus delawarensis,2481134,NA,NA
16522,Leucophaeus pipixcan,Franklin's Gull,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,5846430,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,Leucophaeus pipixcan,5846430,NA,NA
15609,Numenius americanus,Long-billed Curlew,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2481794,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius americanus,2481794,NA,NA
17802,Botaurus lentiginosus,American Bittern,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2480911,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus lentiginosus,2480911,NA,NA
18080,Plegadis chihi,White-faced Ibis,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,9375033,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,Plegadis chihi,9375033,NA,NA
19476,Coccyzus americanus,Yellow-billed Cuckoo (Western DPS),NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2496287,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus americanus,2496287,NA,NA
15974,Aquila chrysaetos,Golden Eagle,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2480506,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,2480506,NA,NA
17654,Buteo regalis,Ferruginous Hawk,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2480566,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,2480566,NA,NA
18753,Oreortyx pictus,Mountain Quail,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2474320,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Oreortyx,Oreortyx pictus,2474320,NA,NA
19187,Centrocercus urophasianus,Greater Sage-Grouse,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,5959240,Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus urophasianus,5959240,NA,NA
18922,Canachites canadensis,Spruce Grouse,NA,NA,TRUE,SGIN - E,2024-04-16T00:00:00Z,Formerly placed in the genus Falcipennis.,NA,2473502,Animalia,Chordata,Aves,Galliformes,Phasianidae,Canachites,Canachites canadensis,2473502,NA,NA
18395,Tympanuchus phasianellus,Sharp-tailed Grouse,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2473514,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,Tympanuchus phasianellus,2473514,NA,NA
15698,Gavia immer,Common Loon,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2481962,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer,2481962,NA,NA
