taxon_id,scientific_name,common_name,status_area,status_authority,status_all,status_simple,status_type
5229743,Contopus cooperi,Olive-sided flycatcher,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5229498,Gymnorhinus cyanocephalus,Pinyon jay,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2480283,Charadrius melodus,Piping plover,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2481000,Falco mexicanus,Prairie falcon,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2489129,Progne subis,Purple martin,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2476855,Selasphorus rufus,Rufous hummingbird,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6100797,Amphispiza belli,Sage sparrow,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2497295,Asio flammeus,Short-eared owl,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2480562,Buteo swainsoni,Swainson’s hawk,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2481705,Bartramia longicauda,Upland sandpiper,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2490804,Catharus fuscescens,Veery,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
8314699,Oreothlypis virginiae,Virginia’s warbler,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6178288,Charadrius alexandrinus nivosus,Western snowy plover,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
9375033,Plegadis chihi,White-faced ibis,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2474941,Grus Americana,Whooping crane,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2382377,Etheostoma exile,Iowa darter,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2360898,Couesius plumbeus,Lake chub,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5219667,Sciurus aberti,Abert's squirrel**,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2432525,Idionycteris phyllotis,Allen's big-eared bat,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5218864,Martes Americana,American marten,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2433062,Nyctinomops macrotis,Big free-tailed bat,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2441119,Ovis Canadensis,Bighorn sheep,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2441176,Bison bison,Bison,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2437232,Cynomys ludovicianus,Black-tailed prairie dog,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
4264444,Thomomys bottae rubidus,Botta's pocket gopher (rubidus ssp.),Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2434878,Conepatus leuconotus,Common hog-nosed skunk,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2436108,Sorex nanus,Dwarf shrew,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5219173,Canis lupus,Gray wolf,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2433433,Ursus arctos,Grizzly bear,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
11138256,Lasiurus cinereus,Hoary bat,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5219311,Vulpes macrotis,Kit fox,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2435996,Sorex preblei,Preble's shrew,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2436688,Brachylagus idahoensis,Pygmy rabbit,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6163312,Sorex hoyi montanus,Pygmy shrew,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5706760,Clethrionomys gapperi,Red-backed vole**,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2433727,Lontra Canadensis,River otter,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2438225,Lemmiscus curtatus,Sagebrush vole,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2436794,Lepus americanus,Snowshoe hare**,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5219290,Vulpes velox,Swift fox,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2436705,Lepus townsendii,White-tailed jackrabbit,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2291153,Ferrissia walker,Cloche ancylid,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2290959,Promenetus umbillicatellus,Cockerell,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2288055,Anodontoides ferussacianus,Cylindrical papershell,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
9520065,Ferrissia fragilis,Fragil ancylid,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5189806,Physa cupreonitens,Hot springs physa,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2288048,Uniomerus tetralasmus,Pondhorn,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2291338,Acroloxus coloradensis,Rocky Mountain capshell,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2290956,Promenetus exacuous,Sharp sprite,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5189789,Physa gyrina utahensis,Utah physa,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2457562,Thamnophis cyrtopsis,Black-necked gartersnake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
8170369,Lampropeltis californiae,California kingsnake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2457522,Thamnophis sirtalis,Common gartersnake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2451393,Sceloporus magister,Desert spiny lizard,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
8613410,Gambelia wislizenii,Long-nosed leopard lizard,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2456330,Rhinocheilus lecontei,Long-nosed snake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
6157444,Crotalus oreganus concolor,Midget faded rattlesnake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5224503,Lampropeltis triangulum,Milksnake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
9502850,Rena dissectus,New Mexico threadsnake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
8015329,Hypsiglena chlorophaea,Desert nightsnake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5222463,Phrynosoma modestum,Round-tailed horned lizard,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2456378,Tantilla horbartsmithi,Smith’s black-headed snake,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
5222413,Phrynosoma cornutum,Texas horned lizard,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
2442437,Kinosternon flavescens,Yellow mud turtle,Colorado,Colorado Parks and Wildlife,Colorado SWAP Tier 2,Tier 2,SWAP
