Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 R,  , R,  ,1,1720,KY ,Canada Goose                            ,Kentucky                                ,Dh,37,12.09,6.01,17.54,7.793
 R, Y, R, Y,  ,1720,LA ,Canada Goose                            ,Louisiana                               ,Dh,8,4.2,-5.22,12.36,0.294
 R,  , R,  ,1,1720,MAN,Canada Goose                            ,Manitoba                                ,Dh,83,10.79,3.27,16.14,124.571
 Y,  , Y,  ,1,1720,MAS,Canada Goose                            ,Massachusetts                           ,Dh,30,6.38,2.81,10.15,46.784
 Y,  , Y,  ,1,1720,MD ,Canada Goose                            ,Maryland                                ,Dh,68,13.57,10.31,16.92,285.239
 R,  , R,  ,1,1720,ME ,Canada Goose                            ,Maine                                   ,Dh,53,11.53,5.45,19,4.39
 Y,  , Y,  ,1,1720,MIC,Canada Goose                            ,Michigan                                ,Dh,85,9.33,5.37,13.08,32.063
 Y,  , Y,  ,1,1720,MIN,Canada Goose                            ,Minnesota                               ,Dh,84,12.75,8.69,16.61,172.342
 R,  , R,  ,1,1720,MIS,Canada Goose                            ,Mississippi Flyway                      ,Dh,27,13.32,6.39,20.69,2.16
 Y,  , Y,  ,1,1720,MO ,Canada Goose                            ,Missouri                                ,Dh,65,11.18,6.61,15.6,9.706
 Y,  , Y,  ,1,1720,MON,Canada Goose                            ,Montana                                 ,Dh,82,6.28,2.77,9.89,15.764
 R,  , R,  ,1,1720,NB ,Canada Goose                            ,New Brunswick                           ,Dh,30,12.96,7.94,18.46,5.612
 R,  , R,  ,1,1720,NC ,Canada Goose                            ,North Carolina                          ,Dh,77,12.63,6.68,18.14,25.423
 Y,  , Y,  ,1,1720,ND ,Canada Goose                            ,North Dakota                            ,Dh,48,18.24,13.66,23.11,180.907
 Y,  , Y,  ,1,1720,NEB,Canada Goose                            ,Nebraska                                ,Dh,46,10.94,5.87,15.69,8.79
 R,  , R,  ,1,1720,NEV,Canada Goose                            ,Nevada                                  ,Dh,19,7.83,2.37,13.78,26.462
 Y,  , Y,  ,1,1720,NH ,Canada Goose                            ,New Hampshire                           ,Dh,25,12.3,7.59,17.43,17.218
 Y,  , Y,  ,1,1720,NJ ,Canada Goose                            ,New Jersey                              ,Dh,34,8.47,3.93,12.81,265.415
 R, Y, R,  ,  ,1720,NM ,Canada Goose                            ,New Mexico                              ,Dh,11,2.52,-4.57,10.59,3.364
 R,  , R,  ,1,1720,NS ,Canada Goose                            ,Nova Scotia                             ,Dh,26,11.19,6.27,16.69,5.012
 Y,  , Y,  ,1,1720,NY ,Canada Goose                            ,New York                                ,Dh,119,7.17,3.63,10.62,92.528
 Y,  , Y,  ,1,1720,OHI,Canada Goose                            ,Ohio                                    ,Dh,71,10.2,6.37,13.9,94.035
 Y,  , Y,  ,1,1720,OKL,Canada Goose                            ,Oklahoma                                ,Dh,30,11.06,6.06,15.97,6.541
 Y,  , Y,  ,1,1720,ONT,Canada Goose                            ,Ontario                                 ,Dh,186,11.22,5.68,15.48,47.245
 Y,  , Y,  ,  ,1720,ORE,Canada Goose                            ,Oregon                                  ,Dh,74,1.67,-1.97,5.26,15.469
 Y,  , Y,  ,1,1720,PA ,Canada Goose                            ,Pennsylvania                            ,Dh,114,8.47,4.58,12.01,135.353
 R, R, R,  ,  ,1720,PEI,Canada Goose                            ,Prince Edward Island                    ,Dh,4,5.93,-1.42,14.58,2.391
