Credibility Code,Sample Size Code,Precision Code,Abundance Code,Significance,AOU,Region,Species,Region Name,Model,N Routes,Trend,2.5%CI,97.5%CI,Relative Abundance,Years
,,,,1,1720,CA1,Canada Goose,Canada (core),Dh,845,7.315,3.921,9.572,63.477,1966-2023
,,,,1,1720,US1,Canada Goose,United States (core),Dh,2446,7.023,4.27,8.883,34.062,1966-2023
,,,,1,1720,SU1,Canada Goose,Survey-wide (core),Dh,3291,6.989,4.364,8.564,44.971,1966-2023
R,R,R,R,,1782,A05,Mute Swan,Northern Pacific Rainforest (core),Dh,3,1.572,-6.189,13.892,0.032,1968-2023
R,Y,R,R,,1782,S12,Mute Swan,Boreal Hardwood Transition,Dh,5,3.04,-4.859,14.015,0.036,1966-2023
R,Y,R,R,,1782,S13,Mute Swan,Lower Great Lakes/St. Lawrence Plain,Dh,10,5.167,-3.759,21.093,0.051,1967-2023
R,Y,R,R,,1782,S22,Mute Swan,Eastern Tallgrass Prairie,Dh,7,2.427,-5.751,10.939,0.023,1966-2023
Y,,Y,Y,1,1782,S23,Mute Swan,Prairie Hardwood Transition,Dh,21,4.589,0.695,9.769,0.678,1966-2023
Y,,Y,Y,,1782,S28,Mute Swan,Appalachian Mountains,Dh,18,3.993,-0.326,9.145,0.208,1966-2023
Y,,Y,,,1782,S30,Mute Swan,New England/mid-Atlantic Coast,Dh,33,0.466,-3.726,4.215,1.829,1966-2023
R,R,R,R,,1782,BC,Mute Swan,British Columbia,Dh,3,1.572,-6.189,13.892,0.032,1968-2023
R,Y,R,Y,,1782,CON,Mute Swan,Connecticut,Dh,8,2.33,-3.165,9.39,0.275,1966-2023
R,R,R,R,,1782,ILL,Mute Swan,Illinois,Dh,4,5.372,-1.799,16.916,0.004,1966-2023
R,Y,R,Y,,1782,IND,Mute Swan,Indiana,Dh,6,1.874,-5.081,9.831,0.158,1966-2023
R,Y,R,Y,,1782,MAS,Mute Swan,Massachusetts,Dh,10,4.155,-1.041,10.23,0.231,1967-2023
R,Y,R,Y,,1782,MD,Mute Swan,Maryland,Dh,5,2.991,-10.739,20.076,0.252,1966-2023
Y,,Y,Y,1,1782,MIC,Mute Swan,Michigan,Dh,23,4.324,0.151,9.455,0.322,1966-2023
R,Y,R,Y,,1782,NJ,Mute Swan,New Jersey,Dh,10,-4.512,-12.292,1.751,0.216,1966-2023
Y,Y,Y,,,1782,NY,Mute Swan,New York,Dh,11,1.039,-2.629,4.926,2.454,1966-2023
R,Y,R,R,,1782,ONT,Mute Swan,Ontario,Dh,10,5.167,-3.759,21.093,0.051,1967-2023
R,Y,R,Y,1,1782,PA,Mute Swan,Pennsylvania,Dh,7,9.144,2.333,23.566,0.128,1966-2023
R,Y,R,R,,1782,CA1,Mute Swan,Canada (core),Dh,13,1.772,-5.239,11.156,0.046,1967-2023
Y,,Y,Y,,1782,US1,Mute Swan,United States (core),Dh,84,1.195,-2.536,4.178,0.406,1966-2023
Y,,Y,Y,,1782,SU1,Mute Swan,Survey-wide (core),Dh,97,1.179,-2.531,4.101,0.284,1966-2023
Y,,,Y,,1440,A05,Wood Duck,Northern Pacific Rainforest (core),Dh,71,-0.593,-2.236,0.973,0.141,1968-2023
Y,,Y,Y,1,1440,A06,Wood Duck,Boreal Taiga Plains (core),Dh,14,3.125,0.276,6.72,0.157,1968-2023
R,Y,Y,R,,1440,S08,Wood Duck,Boreal Softwood Shield,Dh,9,0.074,-3.082,3.105,0.024,1967-2023
R,,,R,,1440,S09,Wood Duck,Great Basin,Dh,45,1.695,-0.196,3.667,0.081,1968-2023
R,,,R,,1440,S10,Wood Duck,Northern Rockies,Dh,36,0.243,-1.811,2.156,0.046,1968-2023
Y,,,Y,1,1440,S11,Wood Duck,Prairie Potholes,Dh,134,3.24,2.034,4.503,0.476,1967-2023
Y,,,Y,1,1440,S12,Wood Duck,Boreal Hardwood Transition,Dh,174,1.677,0.627,2.738,0.427,1966-2023
